AUC    AUPR    Acc    F1    pre    recall
0.5287    0.4953    0.5000    0.6667    0.5000    1.0000 
0.9258    0.9227    0.5361    0.6830    0.5188    0.9992 
0.9402    0.9370    0.5026    0.6676    0.5013    0.9988 
0.9401    0.9375    0.5084    0.6702    0.5043    0.9988 
0.9421    0.9399    0.6586    0.7450    0.5946    0.9972 
0.9419    0.9398    0.7438    0.7933    0.6649    0.9831 
0.9422    0.9395    0.8028    0.8313    0.7263    0.9719 
0.9429    0.9403    0.8508    0.8635    0.7958    0.9438 
0.9438    0.9410    0.8741    0.8793    0.8446    0.9169 
0.9445    0.9418    0.8757    0.8785    0.8591    0.8988 
0.9450    0.9423    0.8783    0.8808    0.8634    0.8988 
0.9451    0.9425    0.8771    0.8796    0.8620    0.8980 
0.9454    0.9429    0.8773    0.8800    0.8612    0.8996 
0.9453    0.9426    0.8769    0.8800    0.8586    0.9024 
0.9455    0.9429    0.8757    0.8792    0.8553    0.9044 
0.9454    0.9425    0.8753    0.8793    0.8522    0.9080 
0.9456    0.9431    0.8761    0.8800    0.8530    0.9088 
0.9458    0.9432    0.8773    0.8814    0.8531    0.9116 
0.9458    0.9435    0.8773    0.8812    0.8541    0.9100 
0.9460    0.9436    0.8781    0.8818    0.8557    0.9096 
0.9462    0.9441    0.8787    0.8818    0.8596    0.9052 
0.9464    0.9443    0.8787    0.8815    0.8616    0.9024 
0.9467    0.9447    0.8799    0.8821    0.8664    0.8984 
0.9469    0.9449    0.8807    0.8825    0.8697    0.8956 
0.9471    0.9453    0.8807    0.8825    0.8694    0.8960 
0.9475    0.9457    0.8809    0.8828    0.8692    0.8968 
0.9475    0.9458    0.8801    0.8819    0.8693    0.8948 
0.9480    0.9465    0.8805    0.8821    0.8706    0.8940 
0.9479    0.9465    0.8805    0.8819    0.8720    0.8920 
0.9482    0.9469    0.8821    0.8830    0.8762    0.8900 
0.9485    0.9473    0.8811    0.8819    0.8763    0.8876 
0.9487    0.9475    0.8803    0.8810    0.8758    0.8863 
0.9489    0.9478    0.8815    0.8825    0.8752    0.8900 
0.9487    0.9473    0.8817    0.8827    0.8755    0.8900 
0.9487    0.9475    0.8805    0.8819    0.8720    0.8920 
0.9488    0.9475    0.8815    0.8828    0.8731    0.8928 
0.9491    0.9479    0.8811    0.8824    0.8733    0.8916 
0.9492    0.9481    0.8809    0.8823    0.8724    0.8924 
0.9490    0.9478    0.8813    0.8827    0.8728    0.8928 
0.9493    0.9481    0.8813    0.8827    0.8728    0.8928 
0.9493    0.9481    0.8809    0.8821    0.8733    0.8912 
0.9494    0.9483    0.8815    0.8828    0.8734    0.8924 
0.9493    0.9482    0.8815    0.8827    0.8740    0.8916 
0.9494    0.9482    0.8817    0.8827    0.8752    0.8904 
0.9500    0.9487    0.8809    0.8817    0.8759    0.8876 
0.9499    0.9487    0.8815    0.8822    0.8770    0.8876 
0.9498    0.9485    0.8817    0.8824    0.8773    0.8876 
0.9502    0.9492    0.8813    0.8820    0.8772    0.8867 
0.9499    0.9488    0.8807    0.8814    0.8765    0.8863 
0.9501    0.9491    0.8811    0.8816    0.8781    0.8851 
0.9501    0.9490    0.8807    0.8808    0.8801    0.8815 
0.9503    0.9493    0.8799    0.8798    0.8808    0.8787 
0.9501    0.9488    0.8799    0.8799    0.8802    0.8795 
0.9500    0.9488    0.8789    0.8788    0.8797    0.8779 
0.9504    0.9491    0.8793    0.8791    0.8804    0.8779 
0.9502    0.9490    0.8797    0.8795    0.8808    0.8783 
0.9501    0.9488    0.8803    0.8806    0.8788    0.8823 
0.9502    0.9490    0.8793    0.8796    0.8773    0.8819 
0.9506    0.9494    0.8805    0.8809    0.8782    0.8835 
0.9503    0.9491    0.8801    0.8808    0.8760    0.8855 
0.9504    0.9491    0.8807    0.8817    0.8747    0.8888 
0.9506    0.9495    0.8813    0.8823    0.8751    0.8896 
0.9505    0.9493    0.8815    0.8829    0.8725    0.8936 
0.9505    0.9493    0.8815    0.8832    0.8708    0.8960 
0.9505    0.9492    0.8813    0.8830    0.8705    0.8960 
0.9507    0.9495    0.8811    0.8828    0.8707    0.8952 
0.9505    0.9492    0.8815    0.8831    0.8717    0.8948 
0.9506    0.9491    0.8813    0.8830    0.8708    0.8956 
0.9507    0.9495    0.8811    0.8828    0.8704    0.8956 
0.9508    0.9498    0.8821    0.8839    0.8707    0.8976 
0.9508    0.9497    0.8809    0.8825    0.8709    0.8944 
0.9509    0.9497    0.8815    0.8831    0.8714    0.8952 
0.9509    0.9497    0.8817    0.8832    0.8726    0.8940 
