AUC    AUPR    Acc    F1    pre    recall
0.9508    0.9495    0.8825    0.8840    0.8731    0.8952 
0.9508    0.9498    0.8817    0.8829    0.8741    0.8920 
0.9512    0.9501    0.8815    0.8827    0.8740    0.8916 
0.9508    0.9495    0.8815    0.8829    0.8728    0.8932 
0.9512    0.9500    0.8811    0.8825    0.8722    0.8932 
0.9509    0.9497    0.8835    0.8848    0.8751    0.8948 
0.9509    0.9497    0.8823    0.8836    0.8739    0.8936 
0.9514    0.9503    0.8813    0.8831    0.8702    0.8964 
0.9510    0.9497    0.8811    0.8823    0.8736    0.8912 
0.9513    0.9501    0.8819    0.8827    0.8771    0.8884 
0.9514    0.9500    0.8825    0.8833    0.8775    0.8892 
0.9513    0.9499    0.8827    0.8836    0.8773    0.8900 
0.9516    0.9502    0.8839    0.8855    0.8737    0.8976 
0.9513    0.9500    0.8831    0.8840    0.8774    0.8908 
0.9517    0.9501    0.8833    0.8850    0.8727    0.8976 
0.9518    0.9504    0.8825    0.8843    0.8711    0.8980 
0.9512    0.9496    0.8831    0.8841    0.8768    0.8916 
0.9516    0.9502    0.8805    0.8834    0.8626    0.9052 
0.9511    0.9496    0.8829    0.8844    0.8735    0.8956 
0.9515    0.9501    0.8833    0.8845    0.8759    0.8932 
0.9517    0.9502    0.8805    0.8831    0.8646    0.9024 
0.9514    0.9499    0.8811    0.8839    0.8636    0.9052 
0.9509    0.9496    0.8835    0.8861    0.8670    0.9060 
0.9516    0.9500    0.8811    0.8834    0.8667    0.9008 
0.9515    0.9498    0.8821    0.8840    0.8704    0.8980 
0.9514    0.9496    0.8827    0.8825    0.8843    0.8807 
0.9514    0.9499    0.8795    0.8777    0.8915    0.8643 
