AUC    AUPR    Acc    F1    pre    recall
0.7791    0.7431    0.4940    0.0040    0.1250    0.0020 
0.9151    0.9096    0.6870    0.7604    0.6160    0.9932 
0.9352    0.9314    0.7867    0.8209    0.7075    0.9775 
0.9354    0.9306    0.8407    0.8563    0.7799    0.9494 
0.9376    0.9329    0.8501    0.8619    0.7992    0.9353 
0.9403    0.9359    0.8608    0.8706    0.8131    0.9369 
0.9415    0.9366    0.8732    0.8797    0.8368    0.9273 
0.9413    0.9362    0.8706    0.8767    0.8373    0.9200 
0.9413    0.9366    0.8696    0.8754    0.8382    0.9160 
0.9412    0.9364    0.8728    0.8776    0.8460    0.9116 
0.9415    0.9366    0.8757    0.8790    0.8558    0.9036 
0.9418    0.9369    0.8781    0.8802    0.8650    0.8959 
0.9421    0.9376    0.8813    0.8824    0.8742    0.8907 
0.9422    0.9378    0.8811    0.8817    0.8771    0.8863 
0.9424    0.9382    0.8799    0.8808    0.8739    0.8879 
0.9426    0.9385    0.8801    0.8814    0.8719    0.8911 
0.9427    0.9385    0.8805    0.8821    0.8702    0.8943 
0.9431    0.9391    0.8805    0.8822    0.8693    0.8955 
0.9430    0.9391    0.8811    0.8825    0.8721    0.8931 
0.9431    0.9394    0.8799    0.8815    0.8695    0.8939 
0.9432    0.9395    0.8781    0.8804    0.8636    0.8980 
0.9436    0.9398    0.8775    0.8806    0.8587    0.9036 
0.9439    0.9402    0.8793    0.8829    0.8570    0.9104 
0.9442    0.9405    0.8771    0.8813    0.8522    0.9124 
0.9444    0.9407    0.8765    0.8811    0.8491    0.9156 
0.9448    0.9412    0.8767    0.8814    0.8486    0.9168 
0.9450    0.9414    0.8769    0.8816    0.8487    0.9172 
0.9452    0.9419    0.8759    0.8809    0.8464    0.9184 
0.9454    0.9421    0.8763    0.8815    0.8454    0.9209 
0.9458    0.9427    0.8767    0.8821    0.8448    0.9229 
0.9460    0.9429    0.8753    0.8812    0.8411    0.9253 
0.9463    0.9431    0.8734    0.8799    0.8374    0.9269 
0.9465    0.9436    0.8718    0.8785    0.8350    0.9269 
0.9468    0.9441    0.8698    0.8769    0.8315    0.9277 
0.9470    0.9444    0.8720    0.8786    0.8358    0.9261 
0.9472    0.9446    0.8724    0.8789    0.8364    0.9261 
0.9474    0.9451    0.8761    0.8819    0.8424    0.9253 
0.9476    0.9452    0.8769    0.8822    0.8454    0.9225 
0.9476    0.9454    0.8775    0.8824    0.8481    0.9196 
0.9478    0.9457    0.8797    0.8842    0.8521    0.9188 
0.9481    0.9461    0.8807    0.8849    0.8547    0.9172 
0.9478    0.9457    0.8809    0.8847    0.8575    0.9136 
0.9478    0.9456    0.8807    0.8842    0.8590    0.9108 
0.9481    0.9459    0.8807    0.8836    0.8626    0.9056 
0.9481    0.9461    0.8807    0.8834    0.8634    0.9044 
0.9481    0.9462    0.8807    0.8833    0.8640    0.9036 
0.9481    0.9458    0.8803    0.8829    0.8642    0.9024 
0.9484    0.9466    0.8807    0.8831    0.8654    0.9016 
0.9483    0.9463    0.8809    0.8832    0.8663    0.9008 
0.9482    0.9461    0.8811    0.8832    0.8675    0.8996 
0.9482    0.9464    0.8819    0.8837    0.8703    0.8975 
0.9481    0.9462    0.8817    0.8834    0.8708    0.8963 
0.9482    0.9461    0.8821    0.8837    0.8715    0.8963 
0.9482    0.9462    0.8819    0.8837    0.8706    0.8971 
0.9484    0.9467    0.8825    0.8842    0.8716    0.8971 
0.9484    0.9462    0.8827    0.8843    0.8725    0.8963 
0.9483    0.9463    0.8829    0.8845    0.8726    0.8967 
0.9486    0.9464    0.8829    0.8845    0.8723    0.8971 
0.9485    0.9462    0.8805    0.8825    0.8679    0.8975 
0.9487    0.9463    0.8805    0.8828    0.8662    0.9000 
0.9487    0.9465    0.8807    0.8828    0.8674    0.8988 
0.9489    0.9466    0.8807    0.8829    0.8665    0.9000 
0.9489    0.9468    0.8805    0.8830    0.8645    0.9024 
0.9490    0.9467    0.8799    0.8825    0.8638    0.9020 
0.9491    0.9467    0.8805    0.8833    0.8628    0.9048 
0.9492    0.9470    0.8809    0.8837    0.8632    0.9052 
0.9492    0.9470    0.8811    0.8837    0.8644    0.9040 
0.9492    0.9469    0.8805    0.8826    0.8673    0.8984 
0.9493    0.9471    0.8827    0.8843    0.8722    0.8967 
0.9495    0.9474    0.8821    0.8829    0.8768    0.8891 
0.9496    0.9474    0.8833    0.8840    0.8789    0.8891 
0.9498    0.9476    0.8837    0.8840    0.8817    0.8863 
0.9499    0.9477    0.8829    0.8833    0.8800    0.8867 
0.9501    0.9482    0.8837    0.8848    0.8766    0.8931 
0.9502    0.9481    0.8815    0.8831    0.8713    0.8951 
0.9502    0.9480    0.8823    0.8841    0.8710    0.8975 
0.9503    0.9481    0.8817    0.8833    0.8717    0.8951 
0.9503    0.9482    0.8833    0.8840    0.8786    0.8895 
0.9504    0.9482    0.8837    0.8841    0.8811    0.8871 
0.9506    0.9484    0.8839    0.8846    0.8790    0.8903 
0.9507    0.9482    0.8829    0.8840    0.8755    0.8927 
0.9504    0.9479    0.8839    0.8851    0.8757    0.8947 
0.9506    0.9484    0.8821    0.8837    0.8715    0.8963 
0.9509    0.9486    0.8827    0.8841    0.8734    0.8951 
0.9510    0.9486    0.8833    0.8845    0.8753    0.8939 
0.9511    0.9488    0.8839    0.8844    0.8805    0.8883 
0.9511    0.9490    0.8849    0.8857    0.8793    0.8923 
0.9511    0.9486    0.8825    0.8840    0.8727    0.8955 
0.9509    0.9485    0.8817    0.8837    0.8688    0.8992 
0.9513    0.9491    0.8827    0.8845    0.8708    0.8988 
0.9514    0.9489    0.8819    0.8836    0.8711    0.8963 
0.9514    0.9491    0.8835    0.8849    0.8745    0.8955 
0.9514    0.9492    0.8821    0.8838    0.8709    0.8971 
0.9516    0.9494    0.8825    0.8841    0.8719    0.8967 
0.9515    0.9493    0.8831    0.8847    0.8726    0.8971 
0.9516    0.9491    0.8823    0.8841    0.8704    0.8984 
0.9514    0.9490    0.8823    0.8838    0.8724    0.8955 
0.9517    0.9494    0.8843    0.8845    0.8828    0.8863 
0.9517    0.9494    0.8849    0.8854    0.8814    0.8895 
0.9518    0.9494    0.8837    0.8843    0.8796    0.8891 
