AUC    AUPR    Acc    F1    pre    recall
0.9495    0.9484    0.8748    0.8763    0.8662    0.8867 
0.9494    0.9481    0.8748    0.8763    0.8665    0.8863 
0.9495    0.9482    0.8751    0.8765    0.8665    0.8867 
0.9498    0.9488    0.8753    0.8767    0.8666    0.8871 
0.9497    0.9486    0.8757    0.8772    0.8664    0.8883 
0.9495    0.9482    0.8759    0.8773    0.8673    0.8875 
0.9498    0.9486    0.8757    0.8770    0.8675    0.8867 
0.9499    0.9488    0.8769    0.8783    0.8684    0.8883 
0.9497    0.9487    0.8765    0.8777    0.8692    0.8863 
0.9497    0.9485    0.8767    0.8779    0.8692    0.8867 
0.9498    0.9488    0.8767    0.8775    0.8713    0.8839 
0.9496    0.9485    0.8761    0.8769    0.8708    0.8831 
0.9495    0.9481    0.8757    0.8764    0.8710    0.8819 
0.9497    0.9484    0.8765    0.8774    0.8706    0.8843 
0.9500    0.9488    0.8757    0.8770    0.8678    0.8863 
0.9500    0.9488    0.8753    0.8768    0.8660    0.8879 
0.9501    0.9488    0.8753    0.8770    0.8648    0.8895 
0.9500    0.9487    0.8744    0.8764    0.8632    0.8899 
0.9501    0.9489    0.8755    0.8777    0.8621    0.8939 
0.9500    0.9487    0.8744    0.8766    0.8618    0.8919 
0.9501    0.9488    0.8757    0.8781    0.8613    0.8955 
0.9501    0.9489    0.8757    0.8778    0.8627    0.8935 
0.9501    0.9489    0.8751    0.8775    0.8608    0.8947 
0.9503    0.9489    0.8761    0.8785    0.8617    0.8959 
0.9502    0.9487    0.8748    0.8770    0.8625    0.8919 
0.9504    0.9491    0.8744    0.8763    0.8638    0.8891 
0.9503    0.9490    0.8742    0.8756    0.8660    0.8855 
0.9503    0.9490    0.8740    0.8753    0.8665    0.8843 
0.9503    0.9487    0.8748    0.8767    0.8639    0.8899 
0.9506    0.9491    0.8755    0.8780    0.8601    0.8967 
0.9506    0.9493    0.8761    0.8790    0.8586    0.9004 
0.9505    0.9491    0.8765    0.8796    0.8579    0.9024 
0.9510    0.9497    0.8744    0.8779    0.8544    0.9028 
0.9510    0.9495    0.8755    0.8781    0.8596    0.8975 
0.9507    0.9491    0.8746    0.8771    0.8605    0.8943 
0.9506    0.9489    0.8753    0.8781    0.8584    0.8988 
0.9509    0.9495    0.8751    0.8783    0.8562    0.9016 
0.9509    0.9496    0.8763    0.8785    0.8626    0.8951 
0.9507    0.9493    0.8759    0.8767    0.8708    0.8827 
0.9508    0.9494    0.8771    0.8779    0.8717    0.8843 
0.9506    0.9491    0.8767    0.8794    0.8604    0.8992 
0.9510    0.9497    0.8773    0.8799    0.8612    0.8996 
0.9512    0.9497    0.8769    0.8787    0.8658    0.8919 
0.9509    0.9494    0.8785    0.8794    0.8726    0.8863 
0.9509    0.9495    0.8775    0.8780    0.8745    0.8815 
0.9507    0.9493    0.8748    0.8756    0.8702    0.8811 
0.9509    0.9494    0.8773    0.8787    0.8682    0.8895 
0.9509    0.9496    0.8801    0.8811    0.8733    0.8891 
0.9511    0.9495    0.8783    0.8782    0.8789    0.8775 
0.9504    0.9489    0.8775    0.8766    0.8830    0.8702 
0.9511    0.9495    0.8773    0.8774    0.8765    0.8783 
0.9511    0.9495    0.8793    0.8806    0.8708    0.8907 
0.9511    0.9495    0.8781    0.8797    0.8682    0.8915 
0.9504    0.9487    0.8767    0.8775    0.8716    0.8835 
0.9512    0.9498    0.8765    0.8769    0.8739    0.8799 
