AUC    AUPR    Acc    F1    pre    recall
0.9368    0.9375    0.8421    0.8236    0.9329    0.7372 
0.9418    0.9402    0.8156    0.7838    0.9471    0.6685 
0.9442    0.9426    0.8311    0.8065    0.9435    0.7043 
0.9435    0.9415    0.8608    0.8530    0.9038    0.8076 
0.9433    0.9417    0.8696    0.8709    0.8622    0.8799 
0.9436    0.9419    0.8712    0.8735    0.8584    0.8891 
0.9441    0.9423    0.8730    0.8747    0.8637    0.8859 
0.9445    0.9425    0.8740    0.8755    0.8657    0.8855 
0.9448    0.9430    0.8740    0.8756    0.8648    0.8867 
0.9447    0.9427    0.8746    0.8765    0.8635    0.8899 
0.9449    0.9430    0.8740    0.8765    0.8597    0.8939 
0.9450    0.9431    0.8740    0.8763    0.8611    0.8919 
0.9452    0.9433    0.8757    0.8777    0.8635    0.8923 
0.9452    0.9433    0.8761    0.8775    0.8673    0.8879 
0.9452    0.9434    0.8748    0.8759    0.8688    0.8831 
0.9454    0.9439    0.8759    0.8761    0.8743    0.8779 
0.9454    0.9441    0.8763    0.8756    0.8802    0.8710 
0.9454    0.9441    0.8757    0.8743    0.8841    0.8646 
0.9456    0.9443    0.8769    0.8752    0.8873    0.8634 
0.9458    0.9445    0.8773    0.8753    0.8893    0.8618 
0.9463    0.9452    0.8773    0.8758    0.8861    0.8658 
0.9467    0.9454    0.8795    0.8784    0.8860    0.8710 
0.9469    0.9455    0.8789    0.8783    0.8824    0.8742 
0.9474    0.9462    0.8797    0.8795    0.8810    0.8779 
0.9477    0.9463    0.8789    0.8789    0.8784    0.8795 
0.9478    0.9467    0.8795    0.8800    0.8758    0.8843 
0.9481    0.9468    0.8793    0.8801    0.8740    0.8863 
0.9481    0.9468    0.8779    0.8795    0.8681    0.8911 
0.9482    0.9468    0.8769    0.8788    0.8653    0.8927 
0.9485    0.9475    0.8771    0.8795    0.8625    0.8971 
0.9486    0.9476    0.8769    0.8796    0.8605    0.8996 
0.9485    0.9472    0.8763    0.8795    0.8573    0.9028 
0.9487    0.9477    0.8753    0.8791    0.8530    0.9068 
0.9488    0.9477    0.8751    0.8792    0.8511    0.9092 
0.9487    0.9475    0.8748    0.8791    0.8502    0.9100 
0.9487    0.9475    0.8751    0.8794    0.8500    0.9108 
0.9490    0.9479    0.8748    0.8791    0.8500    0.9104 
0.9490    0.9478    0.8755    0.8793    0.8530    0.9072 
0.9491    0.9479    0.8761    0.8796    0.8551    0.9056 
0.9493    0.9482    0.8761    0.8793    0.8570    0.9028 
0.9491    0.9476    0.8744    0.8773    0.8576    0.8980 
0.9493    0.9482    0.8751    0.8776    0.8603    0.8955 
0.9494    0.9482    0.8751    0.8774    0.8611    0.8943 
0.9492    0.9482    0.8753    0.8774    0.8623    0.8931 
0.9496    0.9487    0.8748    0.8769    0.8630    0.8911 
