AUC    AUPR    Acc    F1    pre    recall
0.9253    0.9032    0.7969    0.8267    0.7210    0.9687 
0.9412    0.9399    0.7644    0.8063    0.6845    0.9807 
0.9435    0.9432    0.8646    0.8682    0.8460    0.8915 
0.9473    0.9472    0.8626    0.8518    0.9243    0.7899 
0.9482    0.9477    0.8156    0.7834    0.9491    0.6669 
0.9479    0.9473    0.8638    0.8529    0.9273    0.7895 
0.9476    0.9470    0.8769    0.8749    0.8889    0.8614 
0.9474    0.9470    0.8759    0.8763    0.8732    0.8795 
0.9476    0.9473    0.8767    0.8771    0.8740    0.8803 
0.9480    0.9477    0.8785    0.8792    0.8741    0.8843 
0.9482    0.9478    0.8797    0.8812    0.8700    0.8927 
0.9485    0.9482    0.8797    0.8816    0.8674    0.8963 
0.9486    0.9482    0.8817    0.8838    0.8679    0.9004 
0.9487    0.9483    0.8821    0.8844    0.8672    0.9024 
0.9488    0.9485    0.8831    0.8856    0.8669    0.9052 
0.9489    0.9487    0.8823    0.8846    0.8672    0.9028 
0.9488    0.9486    0.8817    0.8837    0.8688    0.8992 
0.9489    0.9488    0.8823    0.8838    0.8724    0.8955 
0.9489    0.9488    0.8837    0.8845    0.8787    0.8903 
0.9491    0.9491    0.8849    0.8846    0.8866    0.8827 
0.9492    0.9494    0.8837    0.8831    0.8879    0.8783 
0.9493    0.9495    0.8831    0.8821    0.8897    0.8746 
0.9493    0.9496    0.8839    0.8828    0.8911    0.8746 
0.9494    0.9500    0.8841    0.8831    0.8908    0.8755 
0.9498    0.9505    0.8833    0.8822    0.8903    0.8742 
0.9498    0.9506    0.8837    0.8825    0.8914    0.8738 
0.9499    0.9508    0.8839    0.8829    0.8905    0.8755 
0.9499    0.9508    0.8839    0.8831    0.8892    0.8771 
0.9502    0.9512    0.8843    0.8840    0.8865    0.8815 
0.9504    0.9514    0.8853    0.8855    0.8842    0.8867 
0.9504    0.9514    0.8857    0.8869    0.8780    0.8959 
0.9506    0.9515    0.8837    0.8860    0.8687    0.9040 
0.9508    0.9518    0.8809    0.8840    0.8613    0.9080 
0.9509    0.9518    0.8799    0.8837    0.8567    0.9124 
0.9510    0.9518    0.8789    0.8831    0.8532    0.9152 
0.9513    0.9524    0.8787    0.8831    0.8521    0.9164 
0.9512    0.9523    0.8785    0.8828    0.8525    0.9152 
0.9513    0.9522    0.8779    0.8826    0.8495    0.9184 
0.9514    0.9524    0.8773    0.8823    0.8475    0.9200 
0.9516    0.9526    0.8777    0.8830    0.8458    0.9237 
0.9516    0.9526    0.8783    0.8836    0.8468    0.9237 
0.9516    0.9523    0.8779    0.8832    0.8462    0.9237 
0.9518    0.9526    0.8789    0.8838    0.8493    0.9213 
0.9517    0.9525    0.8801    0.8846    0.8525    0.9192 
0.9517    0.9524    0.8813    0.8854    0.8557    0.9172 
0.9519    0.9527    0.8813    0.8850    0.8578    0.9140 
0.9519    0.9526    0.8823    0.8854    0.8625    0.9096 
0.9521    0.9529    0.8821    0.8849    0.8644    0.9064 
0.9523    0.9532    0.8821    0.8845    0.8666    0.9032 
0.9523    0.9530    0.8827    0.8848    0.8693    0.9008 
0.9522    0.9530    0.8847    0.8862    0.8745    0.8984 
0.9522    0.9529    0.8861    0.8874    0.8775    0.8975 
0.9523    0.9530    0.8863    0.8874    0.8787    0.8963 
0.9524    0.9531    0.8857    0.8866    0.8797    0.8935 
0.9522    0.9529    0.8865    0.8872    0.8817    0.8927 
0.9523    0.9530    0.8875    0.8879    0.8850    0.8907 
0.9521    0.9528    0.8851    0.8851    0.8848    0.8855 
0.9521    0.9528    0.8851    0.8851    0.8848    0.8855 
0.9523    0.9530    0.8853    0.8855    0.8842    0.8867 
0.9524    0.9532    0.8865    0.8868    0.8845    0.8891 
0.9524    0.9532    0.8863    0.8866    0.8844    0.8887 
0.9522    0.9527    0.8863    0.8867    0.8838    0.8895 
0.9522    0.9528    0.8859    0.8862    0.8837    0.8887 
0.9522    0.9528    0.8859    0.8862    0.8837    0.8887 
0.9523    0.9530    0.8849    0.8851    0.8838    0.8863 
0.9523    0.9530    0.8859    0.8861    0.8847    0.8875 
0.9525    0.9533    0.8855    0.8857    0.8840    0.8875 
0.9524    0.9531    0.8851    0.8851    0.8851    0.8851 
0.9524    0.9530    0.8845    0.8841    0.8871    0.8811 
0.9524    0.9531    0.8847    0.8843    0.8875    0.8811 
0.9525    0.9531    0.8845    0.8842    0.8865    0.8819 
0.9527    0.9533    0.8853    0.8854    0.8848    0.8859 
0.9527    0.9533    0.8865    0.8868    0.8845    0.8891 
0.9528    0.9534    0.8861    0.8864    0.8841    0.8887 
0.9526    0.9532    0.8855    0.8858    0.8833    0.8883 
0.9527    0.9534    0.8855    0.8859    0.8827    0.8891 
0.9529    0.9535    0.8883    0.8892    0.8825    0.8959 
0.9529    0.9534    0.8873    0.8884    0.8795    0.8975 
0.9528    0.9533    0.8865    0.8879    0.8770    0.8992 
0.9528    0.9534    0.8867    0.8881    0.8773    0.8992 
0.9528    0.9533    0.8861    0.8875    0.8766    0.8988 
0.9528    0.9534    0.8857    0.8873    0.8750    0.9000 
0.9529    0.9535    0.8849    0.8867    0.8731    0.9008 
0.9530    0.9536    0.8849    0.8866    0.8733    0.9004 
0.9529    0.9535    0.8841    0.8863    0.8700    0.9032 
0.9528    0.9533    0.8843    0.8869    0.8672    0.9076 
0.9529    0.9534    0.8839    0.8872    0.8629    0.9128 
0.9530    0.9536    0.8827    0.8863    0.8596    0.9148 
0.9527    0.9533    0.8813    0.8853    0.8562    0.9164 
0.9528    0.9533    0.8811    0.8851    0.8559    0.9164 
0.9530    0.9534    0.8827    0.8863    0.8596    0.9148 
0.9533    0.9537    0.8845    0.8878    0.8628    0.9144 
0.9535    0.9539    0.8839    0.8871    0.8634    0.9120 
0.9534    0.9538    0.8843    0.8870    0.8666    0.9084 
0.9531    0.9534    0.8829    0.8853    0.8671    0.9044 
0.9533    0.9537    0.8853    0.8880    0.8677    0.9092 
0.9533    0.9537    0.8855    0.8881    0.8686    0.9084 
0.9534    0.9538    0.8857    0.8878    0.8715    0.9048 
0.9531    0.9533    0.8849    0.8869    0.8716    0.9028 
0.9532    0.9534    0.8871    0.8894    0.8719    0.9076 
